Name,Gender,Origin
Faramond,m,History
Faramund,m,Ancient Germanic
Fareed,m,"Arabic, Urdu"
Fareeha,f,"Arabic, Urdu"
Farhan,m,"Arabic, Bengali, Urdu"
Farhana,f,"Arabic, Bengali"
Farid,m,"Arabic, Azerbaijani, Iranian, Urdu"
Farida,f,Arabic
Faridoon,m,Persian
Fariha,f,"Arabic, Urdu"
Faris,m,"Arabic, Bosnian"
Farley,m,English (Rare)
Faron,m,English
Farooq,m,Arabic
Farouk,m,Arabic
Farquhar,m,"Irish, Scottish"
Farrah,f,Arabic
Farran,m,English (Rare)
Farrell,m,English
Farrokh,m,Persian
Farrukh,m,"Tajik, Urdu, Uzbek"
Faruk,m,"Arabic, Turkish"
Faruq,m,Arabic
Fatemah,f,Persian
Fathi,m,Arabic
Fathiyya,f,Arabic
Fatima,f,Arabic
Fatimah,f,"Arabic, Indonesian, Malay"
Fatin,f,Arabic
Fatin,m,Arabic
Fati̇h,m,Turkish
Fatma,f,"Arabic, Azerbaijani, Turkish"
Fatmir,m,Albanian
Fatmire,f,Albanian
Fatoş,f,Turkish
Fatsani,"m, f","Chewa, Southern African"
Fauna,f,Roman Mythology
Faunus,m,Roman Mythology
Faust,m,Literature
Fausta,f,"Ancient Roman, Italian"
Faustina,f,"Ancient Roman, Italian"
Faustine,f,French
Faustino,m,"Italian, Portuguese, Spanish"
Faustinus,m,Ancient Roman
Fausto,m,"Italian, Portuguese, Spanish"
Faustus,m,Ancient Roman
Fawn,f,English
Fawzi,m,Arabic
Fawziya,f,Arabic
Fawziyya,f,Arabic
Fay,f,English
Faye,f,English
Fayiz,m,Arabic
Fayruz,f,Arabic
Faysal,m,Arabic
Fayvel,m,Yiddish
Fayza,f,Arabic
Fazl,m,Arabic
Fearchar,m,"Irish, Scottish"
Feardorcha,m,Irish
Fearghal,m,Irish
Fearghas,m,"Irish, Irish Mythology, Scottish"
Febe,f,"Dutch, Italian, Spanish"
Fechín,m,Irish
Fedde,m,Frisian
Fedele,m,Italian
Fedelm,f,Irish Mythology
Fedelma,f,Irish
Fedelmid,"m, f","Ancient Irish, Irish Mythology"
Federica,f,Italian
Federico,m,"Italian, Spanish"
Federigo,m,Italian (Archaic)
Fedir,m,Ukrainian
Fedlimid,"m, f","Ancient Irish, Irish Mythology"
Fedor,m,Russian
Fedora,f,Russian
Fedot,m,Russian
Fedya,m,Russian
Fehi̇m,m,Turkish
Fehi̇me,f,Turkish
Feibush,m,Yiddish
Feichín,m,Irish
Feidelm,f,Irish Mythology
Feidhelm,f,Irish
Feidhlim,m,Irish
Feidhlimidh,m,Irish
Feidlimid,"m, f","Ancient Irish, Irish Mythology"
Feige,f,Yiddish
Feivel,m,Yiddish
Felice,m,Italian
Felicia,f,"Dutch, English, Late Roman, Romanian, Spanish, Swedish"
Feliciana,f,"Italian, Late Roman, Spanish"
Feliciano,m,"Italian, Portuguese, Spanish"
Felicianus,m,Late Roman
Felicidad,f,Spanish
Felicidade,f,Portuguese
Felicie,f,German (Rare)
Felicita,f,Italian
Felicitas,f,"German, Late Roman, Roman Mythology"
Felicity,f,English
Felicitás,f,Hungarian (Rare)
Felicius,m,Late Roman
Felicja,f,Polish
Felicjan,m,Polish
Felicyta,f,Polish (Rare)
Feliks,m,"Polish, Russian, Slovene"
Felim,m,Irish
Felina,f,Late Roman
Feline,f,Dutch
Felinus,m,Late Roman
Felip,m,Catalan
Felipa,f,Spanish
Felipe,m,"Portuguese (Brazilian), Spanish"
Felipinho,m,Portuguese (Brazilian)
Feliu,m,Catalan
Felix,m,"Ancient Roman, Biblical, Biblical Latin, Danish, Dutch, English, German, Norwegian, Romanian, Swedish"
Felizitas,f,German
Felícia,f,"Hungarian, Portuguese"
Femi,m,"Western African, Yoruba"
Femie,f,English (Rare)
Femke,f,"Dutch, Frisian"
Femme,m,"Dutch, Frisian"
Fen,m,Frisian
Fen,"m, f",Chinese
Fenella,f,Scottish
Fenna,f,"Dutch, Frisian"
Fenton,m,English
Feodor,m,Russian
Feodora,f,Russian
Feodosiy,m,Russian
Feofan,m,Russian (Archaic)
Feofil,m,Russian
Feofilakt,m,Russian
Ferapont,m,Russian
Feray,f,Turkish
Ferdi,m,"Dutch, German"
Ferdie,m,English
Ferdinand,m,"Ancient Germanic, Czech, Dutch, English, French, German, Slovene"
Ferdinanda,f,"German, Italian"
Ferdinando,m,Italian
Ferdinánd,m,Hungarian
Ferdy,m,English
Ferdynand,m,Polish
Ferenc,m,Hungarian
Fereshteh,f,Persian
Fereydoon,m,Persian
Fereydoun,m,"Persian, Persian Mythology"
Fergal,m,Irish
Fergie,"m, f",Scottish
Fergus,m,"Irish, Irish Mythology, Scottish"
Feri,m,Hungarian
Ferid,m,"Azerbaijani, Bosnian"
Feri̇de,f,Turkish
Feri̇dun,m,Turkish
Feri̇ha,f,Turkish
Feri̇t,m,Turkish
Ferkó,m,Hungarian
Fermin,m,Basque
Fermintxo,m,Basque
Fermín,m,Spanish
Fern,f,English
Fernand,m,French
Fernanda,f,"Italian, Portuguese, Spanish"
Fernande,f,French
Fernando,m,"Portuguese, Spanish"
Ferne,f,English
Fernão,m,Portuguese
Feroz,m,Urdu
Feroze,m,Urdu
Ferran,m,Catalan
Ferrer,m,Various
Ferruccio,m,Italian
Ferrutius,m,Late Roman
Feruza,f,Uzbek
Fester,m,Dutch (Rare)
Festus,m,"Ancient Roman, Biblical, Biblical Latin"
Fevzi̇,m,Turkish
Fevzi̇ye,f,Turkish
Ffion,f,Welsh
Fflur,f,Welsh
Ffraid,f,Welsh
Ffransis,m,Welsh
Fiachna,m,Irish
Fiachra,m,"Irish, Irish Mythology"
Fiacre,m,French (Rare)
Fiammetta,f,Italian
Fidda,f,Arabic
Fidel,m,Spanish
Fidela,f,Spanish
Fidelia,f,Spanish (Rare)
Fidelis,m,Late Roman
Fidelma,f,Irish
Fido,m,Pet
Fiera,f,Esperanto
Fiete,m,German
Fife,m,Scottish
Fifi,f,French
Figaro,m,Literature
Fihr,m,Arabic
Fikri,m,Arabic
Fikriyya,f,Arabic
Filat,m,Russian
Filbert,m,Eastern African
Filib,m,Scottish
Filibert,m,"Ancient Germanic, German (Rare)"
Filiberto,m,Italian
Filimena,f,Macedonian
Filip,m,"Bulgarian, Croatian, Czech, Danish, Dutch, Finnish, Hungarian, Macedonian, Norwegian, Polish, Romanian, Serbian, Slovak, Slovene, Swedish"
Filipa,f,Portuguese
Filipe,m,Portuguese
Filipina,f,Polish (Rare)
Filipp,m,Russian
Filippa,f,"Greek, Italian, Swedish"
Filippo,m,Italian
Filippos,m,Greek
Filippu,m,Old Church Slavic
Filippus,m,Dutch
Filips,m,Latvian
Fillin,m,Irish
Filomena,f,"Dutch, Italian, Portuguese, Spanish"
Fima,m,Russian
Fina,f,Italian
Finbar,m,Irish
Finbarr,m,Irish
Findlay,m,Scottish
Finees,m,Biblical Latin
Finella,f,Scottish
Fingal,m,Scottish
Fingall,m,Scottish
Finka,f,Croatian
Finlay,m,"English, Irish, Scottish"
Finley,"m, f","English, Irish, Scottish"
Finn,m,"Danish, Irish, Irish Mythology, Norwegian, Swedish"
Finnagán,m,Irish
Finnbar,m,Irish
Finnbarr,m,Irish
Finnegan,m,"English (Modern), Irish"
Finnguala,f,"Irish, Irish Mythology"
Finnian,m,Irish
Finnr,m,Ancient Scandinavian
Finnuala,f,"Irish, Irish Mythology"
Finnur,m,Icelandic
Finnán,m,Irish
Finnén,m,Irish
Finola,f,"Irish, Scottish"
Fintan,m,"Irish, Irish Mythology"
Fion,m,Irish
Fiona,f,"English, Scottish"
Fionn,m,"Irish, Irish Mythology"
Fionnbarra,m,Irish
Fionnbharr,m,Irish
Fionnghall,m,Scottish
Fionnghuala,f,"Irish, Irish Mythology, Scottish"
Fionnlagh,m,"Irish, Scottish"
Fionntan,m,"Irish, Scottish"
Fionnuala,f,"Irish, Irish Mythology"
Fionnán,m,Irish
Fionola,f,"Irish, Scottish"
Fioralba,f,Italian
Fiore,"m, f",Italian
Fiorella,f,Italian
Fiorenza,f,Italian
Fiorenzo,m,Italian
Fiorino,m,Italian
Firat,m,Turkish
Firdaus,m,"Arabic, Persian"
Firdos,m,Arabic
Firenze,f,Various
Firmin,m,French
Firmino,m,Italian
Firminus,m,Late Roman
Firoozeh,f,Persian
Firouz,m,Persian
Firouzeh,f,Persian
Firoz,m,Persian
Firuz,m,"Persian, Tajik"
Firuza,f,"Azerbaijani, Tajik, Uzbek"
Firuzeh,f,Persian
Fishel,m,Yiddish
Fishke,m,Yiddish
Fito,m,Spanish
Fitz,m,English (Rare)
Fitzroy,m,English (Rare)
Fizza,f,Arabic
Fi̇dan,f,"Azerbaijani, Turkish"
Fi̇kri̇,m,Turkish
Fi̇kri̇ye,f,Turkish
Fi̇li̇z,f,Turkish
Fi̇ruze,f,Turkish
Flaithrí,m,Irish
Flamur,m,Albanian
Flanagan,m,English (Rare)
Flann,"m, f",Irish
Flannery,"m, f",English (Rare)
Flannán,"m, f",Irish
Flavia,f,"Ancient Roman, Italian, Romanian, Spanish"
Flavian,m,History
Flaviana,f,"Ancient Roman, Italian"
Flaviano,m,Italian
Flavianus,m,Ancient Roman
Flavie,f,French
Flavien,m,French
Flavienne,f,French
Flavio,m,"Italian, Spanish"
Flaviu,m,Romanian
Flavius,m,Ancient Roman
Flemming,m,Danish
Fletcher,m,English
Fleur,f,"Dutch, English (Rare), French"
Fleurette,f,"Dutch (Rare), English (Rare), French (Rare)"
Flick,f,English
Flip,m,Dutch
Flo,f,English
Floella,f,English (Rare)
Floor,"m, f",Dutch
Floortje,f,Dutch
Flora,f,"English, German, Italian, Roman Mythology"
Flore,f,French
Florence,"m, f","English, French"
Florencia,f,Spanish
Florencio,m,"Portuguese, Spanish"
Florent,m,French
Florentia,f,Late Roman
Florentin,m,French
Florentina,f,"Late Roman, Spanish"
Florentine,f,French
Florentino,m,Spanish
Florentinus,m,Late Roman
Florentius,m,Late Roman
Floretta,f,English
Florette,f,French (Rare)
Florian,m,"French, German, Polish"
Floriana,f,"Ancient Roman, Italian"
Floriane,f,French
Florianne,f,French
Floriano,m,Italian
Florianus,m,Ancient Roman
Florijan,m,Croatian
Florin,m,Romanian
Florina,f,"Dutch, Late Roman, Romanian, Spanish"
Florinda,f,"Portuguese, Spanish"
Florine,f,French
Florinus,m,Late Roman
Floris,m,Dutch
Florrie,f,English
Florry,m,Irish
Florus,m,Ancient Roman
Flossie,f,English
Flower,f,English (Rare)
Floyd,m,English
Flurry,m,Irish
Flutura,f,Albanian
Flynn,m,English (Rare)
Flávia,f,Portuguese
Flávio,m,Portuguese
Flæmingr,m,Ancient Scandinavian
Flóra,f,Hungarian
Foka,m,Russian
Folami,"m, f","Western African, Yoruba"
Folant,m,Welsh
Folcher,m,Ancient Germanic
Folke,m,"Danish, Norwegian, Swedish"
Foma,m,Russian
Fons,m,Dutch
Forbes,m,Scottish
Ford,m,English
Forest,m,English
Forrest,m,English
Fortunata,f,"Italian, Late Roman, Portuguese, Spanish"
Fortunato,m,"Italian, Portuguese, Spanish"
Fortunatus,m,Late Roman
Fortune,f,English (Rare)
Foster,m,English
Fotini,f,Greek
Fotios,m,Greek
Fotis,m,Greek
Fouad,m,Arabic
Fox,m,English (Rare)
Fran,"m, f","Croatian, English, Slovene, Spanish"
Franc,m,Slovene
Franca,f,Italian
France,f,French
Francene,f,English (Rare)
Frances,f,English
Francesc,m,Catalan
Francesca,f,"Catalan, Italian"
Francesco,m,Italian
Francescu,m,Corsican
Francette,f,French
Franci,f,Hungarian
Francine,f,"English, French"
Francis,"m, f","English, French"
Francisca,f,"Late Roman, Portuguese, Spanish"
Francisco,m,"Portuguese, Spanish"
Franciscus,m,"Dutch, Late Roman"
Franciska,f,Hungarian
Francisque,m,French
Franciszek,m,Polish
Franciszka,f,Polish
Franck,m,French
Francka,f,Slovene
Franco,m,"Ancient Germanic, Italian"
Frane,m,Croatian
Frang,m,Scottish
Frangag,f,Scottish
Franjo,m,"Croatian, Serbian"
Frank,m,"Dutch, English, French, German"
Franka,f,"Croatian, Dutch, German"
Frankie,"m, f",English
Franklin,m,English
Franklyn,m,English
Franko,m,Croatian
Frannie,f,English
Franny,"m, f",English
Frano,m,Croatian
Frans,m,"Danish, Dutch, Finnish, Norwegian, Swedish"
František,m,Czech
Františka,f,Czech
Frantzisca,f,Sardinian
Frantziscu,m,Sardinian
Frantziska,f,Basque
Frantzisko,m,Basque
Franz,m,German
Franzi,f,German
Franziska,f,German
François,m,French
Françoise,f,French
Frančišek,m,Slovene
Frančiška,f,Slovene
Fraser,m,"English (Rare), Scottish"
Frauke,f,German
Frazier,m,"English, Scottish"
Frañsez,m,Breton
Frañseza,f,Breton
Frea,f,Norse Mythology
Fred,m,"Dutch, English, French, German, Portuguese"
Freda,f,English
Freddie,"m, f",English
Freddy,m,English
Fredenand,m,Ancient Germanic
Frederica,f,"English, Portuguese"
Frederick,m,English
Frederico,m,Portuguese
Frederik,m,"Danish, Dutch"
Frederikke,f,Danish
Frediano,m,Italian
Fredo,m,Italian (Rare)
Fredric,m,English
Fredrick,m,English
Fredrik,m,"Finnish, Norwegian, Swedish"
Fredrika,f,"Finnish, Swedish"
Freek,m,Dutch
Freeman,m,English
Freida,f,English
Frej,m,"Danish, Swedish"
Freja,f,"Danish, Swedish"
Frens,m,Limburgish
Frenske,m,Limburgish
Frey,m,Norse Mythology
Freya,f,"English (British, German, Modern), Norse Mythology"
Freyde,f,Yiddish
Freyja,f,"Icelandic, Norse Mythology"
Freyr,m,"Icelandic, Norse Mythology"
Fricis,m,Latvian
Frida,f,"Ancient Germanic, Danish, Norwegian, Swedish"
Fridenot,m,Ancient Germanic
Friderik,m,Slovene
Frideswide,f,History
Fridtjof,m,"Danish, Norwegian, Swedish"
Friduhelm,m,Ancient Germanic
Friduman,m,Ancient Germanic
Fridumar,m,Ancient Germanic
Friduric,m,Ancient Germanic
Fridwald,m,Ancient Germanic
Frieda,f,"English, German"
Friede,f,German
Friedemann,m,German
Friederike,f,German
Friedhelm,m,German
Friedhold,m,German (Rare)
Friedrich,m,German
Frige,f,Anglo-Saxon Mythology
Frigg,f,Norse Mythology
Frigidianus,m,Late Roman
Frigyes,m,Hungarian
Friso,m,Frisian
Fritjof,m,"Danish, Norwegian, Swedish"
Frits,m,Dutch
Fritz,m,German
Fritzi,f,German
Friðrik,m,Icelandic
Friðrika,f,Icelandic
Friðuswiþ,f,Anglo-Saxon
Friðþjófr,m,Ancient Scandinavian
Frode,m,"Danish, Norwegian"
Frodo,m,Literature
Frona,f,English (Rare)
Frosina,f,Macedonian
Fruma,f,Yiddish
Fruzsina,f,Hungarian
Fryderyk,m,Polish
Fryderyka,f,Polish
Fränze,f,German
Frédéric,m,French
Frédérique,f,French
Fríða,f,"Ancient Scandinavian, Icelandic"
Fróði,m,Ancient Scandinavian
Frøya,f,Norwegian
Frīdrihs,m,Latvian
Fu,"m, f",Chinese
Fuad,m,Arabic
Fuat,m,Turkish
Fulbert,m,"Ancient Germanic, French"
Fulco,m,Ancient Germanic
Fulgencio,m,Spanish
Fulgentius,m,Late Roman
Fulgenzio,m,Italian
Fulk,m,English (Archaic)
Fulke,m,English (Archaic)
Fulton,m,English
Fulvia,f,"Ancient Roman, Italian"
Fulvio,m,Italian
Fulvius,m,Ancient Roman
Fumnanya,"m, f","Igbo, Western African"
Funanya,f,"Igbo, Western African"
Funda,f,Turkish
Fungai,"m, f","Shona, Southern African"
Funs,m,"Dutch, Limburgish"
Funske,m,"Dutch, Limburgish"
Furaha,f,"Eastern African, Swahili"
Fusun,f,Turkish
Fyfe,m,Scottish
Fyodor,m,Russian
Fábia,f,Portuguese
Fábio,m,Portuguese
Fábián,m,Hungarian
Fáelán,m,Ancient Irish
Fátima,f,"Portuguese, Spanish"
Félicie,f,French
Félicien,m,French
Félicienne,f,French
Félicité,f,French
Félix,m,"French, Portuguese, Spanish"
Fíona,f,Irish
Fólki,m,Ancient Scandinavian
Fúlvio,m,Portuguese (Brazilian)
Fülöp,m,Hungarian
Gabby,"m, f",English
Gabe,m,English
Gabi,"m, f","German, Hungarian, Romanian"
Gabija,f,"Baltic Mythology, Lithuanian"
Gabin,m,French
Gabino,m,Spanish
Gabinus,m,Late Roman
Gabir,m,Arabic
Gabr,m,Arabic
Gabriel,m,"Biblical, Biblical Greek, Biblical Latin, Catalan, Czech, Danish, English, Finnish, French, German, Norwegian, Polish, Portuguese, Romanian, Slovak, Spanish, Swedish"
Gabriela,f,"Bulgarian, Croatian, Czech, German, Polish, Portuguese, Romanian, Slovak, Spanish"
Gabriele,f,German
Gabriele,m,Italian
Gabrielius,m,Lithuanian
Gabriella,f,"English, Hungarian, Italian, Swedish"
Gabrielle,f,"English, French"
Gabriels,m,Latvian
Gabrielė,f,Lithuanian
Gabrijel,m,"Croatian, Slovene"
Gabrijela,f,Croatian
Gabriël,m,Dutch
Gabriëlle,f,Dutch
Gad,m,Biblical
Gadar,f,Armenian
Gae,f,English (Rare)
Gaea,f,Greek Mythology (Latinized)
Gaenor,f,Welsh
Gaetana,f,Italian
Gaetano,m,Italian
Gafar,m,Arabic
Gage,m,English (Modern)
Gahariet,m,Arthurian Romance
Gaia,f,"Greek Mythology, Italian"
Gaiana,f,Ancient Greek (Latinized)
Gaiane,f,Ancient Greek
Gail,f,English
Gaila,f,English (Rare)
Gaios,m,"Ancient Greek, Biblical Greek"
Gaioz,m,Georgian
Gaius,m,"Ancient Roman, Biblical, Biblical Latin"
Gaizka,m,Basque
Gaja,f,"Esperanto, Polish, Slovene"
Gal,m,Slovene
Gal,"m, f",Hebrew
Gala,f,Russian
Galadriel,f,Literature
Galahad,m,Arthurian Romance
Galal,m,Arabic
Galchobhar,m,Ancient Irish
Gale,f,English
Gale,m,English
Galen,m,English
Galena,f,"Bulgarian, Macedonian"
Galene,f,Ancient Greek
Galenos,m,Ancient Greek
Galia,f,Hebrew
Galila,f,Arabic
Galina,f,"Bulgarian, Russian"
Galit,f,Hebrew
Gali̇p,m,Turkish
Gall,m,History
Gallagher,m,"English (Rare), Irish"
Gallchobhar,m,Irish (Rare)
Gallo,m,Italian
Gallus,m,Ancient Roman
Galo,m,Spanish
Galya,f,Russian
Gamal,m,Arabic
Gamaliel,m,Biblical
Gamil,m,Arabic (Egyptian)
Gamila,f,Arabic (Egyptian)
Gamze,f,Turkish
Ganbaatar,m,Mongolian
Gandalf,m,"Literature, Norse Mythology"
Ganesh,m,"Bengali, Hindi, Indian, Kannada, Malayalam, Marathi, Nepali, Tamil, Telugu"
Ganesha,m,Hinduism
Gang,m,Chinese
Ganix,m,Basque
Ganizani,"m, f","Chewa, Southern African"
Ganymede,m,Greek Mythology (Anglicized)
Ganymedes,m,Greek Mythology
Ganzorig,m,Mongolian
Garaile,m,Basque
Garbhán,m,Irish
Garbi,f,Basque
Garbiñe,f,Basque
Garden,f,Basque
Gardenia,f,English (Rare)
Garegin,m,Armenian
Garen,m,Armenian
Gareth,m,"Arthurian Romance, English (British), Welsh"
Garey,m,English
Garfield,m,English
Gargi,f,"Bengali, Hindi, Hinduism, Indian"
Garland,m,English
Garnet,f,English
Garnet,"m, f",English
Garnett,"m, f",English
Garnette,f,English (Rare)
Garret,m,English
Garrett,m,English
Garrick,m,English
Garry,m,English
Garsea,m,Medieval Spanish
Garth,m,English
Garvan,m,Irish
Gary,m,English
Gaspar,m,"Judeo-Christian Legend, Portuguese, Spanish"
Gaspard,m,French
Gaspare,m,Italian
Gasparo,m,Italian
Gasto,m,Ancient Germanic
Gaston,m,French
Gastone,m,Italian
Gastón,m,Spanish
Gathbiyya,f,Arabic
Gaubert,m,French
Gaufrid,m,Ancient Germanic
Gauhar,f,Arabic
Gaultier,m,French
Gauri,f,"Hindi, Hinduism, Indian, Marathi"
Gautam,m,"Bengali, Hindi, Indian, Marathi"
Gautama,m,Sanskrit
Gauthier,m,French
Gautier,m,French
Gautselin,m,Ancient Germanic
Gautstafr,m,Ancient Scandinavian
Gavin,m,"English, Scottish"
Gavino,m,Italian
Gavrail,m,Bulgarian
Gavrel,m,Yiddish
Gavri'el,m,Biblical Hebrew
Gavriel,m,Hebrew
Gavriil,m,"Greek, Russian (Rare)"
Gavriila,f,Russian (Rare)
Gavriilu,m,Old Church Slavic
Gavril,m,"Bulgarian, Macedonian, Romanian"
Gavrila,f,Romanian
Gavrilo,m,Serbian
Gawahir,f,Arabic
Gawain,m,"Arthurian Romance, Welsh"
Gawdat,m,Arabic
Gaweł,m,Polish
Gay,f,English
Gayathri,f,"Indian, Kannada, Malayalam, Tamil, Telugu"
Gayatri,f,"Hindi, Hinduism, Indian, Marathi"
Gaye,f,"English, Turkish"
Gayelord,m,English (Rare)
Gayla,f,English
Gayle,"m, f",English
Gaylord,m,English
Gaynor,f,English (British)
Gaz,m,English (British)
Gazbiyya,f,Arabic
Gazsi,m,Hungarian
Gaétan,m,French
Gaétane,f,French
Gaël,m,"Breton, French"
Gaëlle,f,"Breton, French"
Gaëtan,m,French
Gaëtane,f,French
Gašper,m,Slovene
Gbemisola,f,"Western African, Yoruba"
Gearalt,m,Irish
Gearóid,m,Irish
Gebahard,m,Ancient Germanic
Gebhard,m,"Ancient Germanic, German"
Gedaliah,m,Biblical
Gedalyahu,m,Biblical Hebrew
Gedeon,m,"Biblical Greek, Biblical Latin"
Geena,f,English (Rare)
Geert,m,Dutch
Geertje,f,Dutch
Geertruida,f,Dutch
Geevarghese,m,"Indian, Malayalam"
Geffrey,m,English (Rare)
Geghard,m,Armenian
Geir,m,"Icelandic, Norwegian"
Geirr,m,Ancient Scandinavian
Gellért,m,Hungarian
Geltrude,f,Italian
Gema,f,Spanish
Gemariah,m,Biblical
Gemaryahu,m,Biblical Hebrew
Gemini,m,Roman Mythology
Gemma,f,"Catalan, Dutch, English (British), Italian"
Gena,f,English
Gena,m,Russian
Genadi,m,"Bulgarian, Georgian"
Gene,m,English
Genesis,f,English (Modern)
Genette,f,English (Rare)
Geneva,f,English
Genevieve,f,English
Geneviève,f,French
Genevra,f,Various
Genghis,m,History
Genie,f,English
Genista,f,Various
Gennadi,m,Russian
Gennadios,m,Ancient Greek
Gennadius,m,Ancient Greek (Latinized)
Gennadiy,m,Russian
Gennadiya,f,Russian
Gennady,m,Russian
Gennarino,m,Italian
Gennaro,m,Italian
Genovefa,f,"?), Ancient Germanic (Latinized"
Genoveffa,f,Italian
Genoveva,f,"Portuguese, Spanish"
Genowefa,f,Polish
Gentian,m,Albanian
Gentiana,f,Albanian
Gentius,m,Albanian
Genya,m,Russian
Geoff,m,English
Geoffrey,m,"English, French"
Geoffroi,m,Medieval French
Geoffroy,m,French
Geordie,m,English
Georg,m,"Danish, Estonian, German, Icelandic, Norwegian, Swedish"
George,m,"English, Romanian"
Georgeanna,f,English
Georgei,m,Medieval Slavic
Georgene,f,English
Georges,m,French
Georgeta,f,Romanian
Georgette,f,French
Georgi,m,Bulgarian
Georgia,f,"English, Greek"
Georgiana,f,"English, Romanian"
Georgie,"m, f",English
Georgijs,m,Latvian
Georgina,f,"Dutch, English, German, Spanish"
Georgine,f,French
Georgios,m,"Ancient Greek, Greek"
Georgius,m,Ancient Greek (Latinized)
Georgiy,m,Russian
Georgo,m,Esperanto
Georgs,m,Latvian
Georgy,m,Russian
Gera,m,Biblical
Geraint,m,"Arthurian Romance, Welsh, Welsh Mythology"
Gerald,m,"English, German"
Geraldine,f,English
Geraldo,m,"Portuguese, Spanish"
Gerallt,m,Welsh
Gerard,m,"Catalan, Dutch, English, Polish"
Gerarda,f,"Dutch, Italian"
Gerardo,m,"Italian, Spanish"
Gerasim,m,"Macedonian, Russian"
Gerasimos,m,Greek
Gerben,m,Dutch
Gerbern,m,Ancient Germanic
Gerd,f,"Danish, Norse Mythology, Norwegian, Swedish"
Gerd,m,"Dutch, German"
Gerda,f,"Danish, Dutch, German, Norwegian, Swedish"
Gerdina,f,Dutch
Gerel,f,Mongolian
Gereon,m,"German, Late Roman"
Geretrudis,f,Ancient Germanic (Latinized)
Gerfrid,m,Ancient Germanic
Gerfried,m,German (Rare)
Gergana,f,Bulgarian
Gergely,m,Hungarian
Gergő,m,Hungarian
Gerhard,m,"Ancient Germanic, Danish, Dutch, German, Norwegian, Swedish"
Gerhardt,m,German
Gerhild,f,"Ancient Germanic, German"
Gerhold,m,German (Archaic)
Gerlach,m,"Ancient Germanic, Dutch"
Gerlind,f,Ancient Germanic
Gerlinde,f,"Dutch, German"
Gerlof,m,Dutch
Germain,m,French
Germaine,f,French
German,m,"English, Russian"
Germana,f,"Ancient Roman, Italian"
Germano,m,"Italian, Portuguese"
Germanus,m,Ancient Roman
Germogen,m,Russian
Germán,m,Spanish
Gernot,m,"Ancient Germanic, German"
Gero,m,"Ancient Germanic, German"
Gerolamo,m,Italian
Gerold,m,"Ancient Germanic, German"
Gerolf,m,Dutch
Gerolt,m,Dutch
Geronimo,m,History
Gerontius,m,Late Roman
Gerrard,m,English (Rare)
Gerrit,m,"Dutch, Frisian"
Gerry,"m, f","Dutch, English"
Gershom,m,"Biblical, Biblical Hebrew"
Gershon,m,"Biblical, Biblical Hebrew"
Gert,m,"Dutch, German"
Gertie,f,"Dutch, English"
Gertraud,f,German
Gertrud,f,"Ancient Germanic, German"
Gertruda,f,"Czech, Polish"
Gertrude,f,"Dutch, English"
Gertrudes,f,Portuguese
Gertrudis,f,Spanish
Gertruida,f,Dutch
Gertrúd,f,Hungarian
Gertrúda,f,Slovak
Gertrūda,f,Lithuanian
Gerulf,m,"Ancient Germanic, German (Rare)"
Gervais,m,French
Gervaise,f,French (Rare)
Gervas,m,"Ancient Germanic, German"
Gervase,m,English (Rare)
Gervasio,m,"Italian, Spanish"
Gervasius,m,Ancient Germanic (Latinized)
Gervásio,m,Portuguese
Gerwazy,m,Polish
Gerónimo,m,Spanish
Gessica,f,Italian
Gethin,m,Welsh
Gethsemane,f,Biblical
Geula,f,Hebrew
Gevorg,m,Armenian
Ghada,f,Arabic
Ghadir,f,Arabic
Ghalib,m,Arabic
Ghaliya,f,Arabic
Ghassan,m,Arabic
Ghayth,m,Arabic
Ghenadie,m,Romanian
Gheorghe,m,Romanian
Gherardo,m,Italian (Archaic)
Ghislain,m,French
Ghislaine,f,French
Ghjulia,f,Corsican
Ghjuvan,m,Corsican
Gholam,m,Persian
Ghoncheh,f,Persian
Ghufran,"m, f",Arabic
Ghulam,m,"Arabic, Pashto, Urdu"
Ghyslain,m,French (Rare)
Ghyslaine,f,French
Gia,f,Italian
Giacinta,f,Italian
Giacinto,m,Italian
Giacobbe,m,Italian
Giacoma,f,Italian
Giacomina,f,Italian
Giacomo,m,Italian
Giada,f,Italian
Giambattista,m,Italian
Giampaolo,m,Italian
Giampiero,m,Italian
Gian,m,Italian (Archaic)
Giancarlo,m,Italian
Gianfranco,m,Italian
Gianluca,m,Italian
Gianluigi,m,Italian
Gianmarco,m,Italian
Gianmaria,m,Italian
Gianna,f,"Greek, Italian"
Gianni,m,"Greek, Italian"
Giannina,f,Italian
Giannino,m,Italian
Giannis,m,Greek
Gianpaolo,m,Italian
Gianpiero,m,Italian
Gib,m,English
Gid'on,m,"Biblical Hebrew, Hebrew"
Gideon,m,"Biblical, English, Hebrew"
Gidie,m,Medieval French
Giedrius,m,Lithuanian
Giedrė,f,Lithuanian
Giffard,m,English (Rare)
Gigi,f,French
Gijs,m,Dutch
Gijsbert,m,Dutch
Gil,m,"English, Hebrew, Portuguese, Spanish"
Gilad,m,"Biblical Hebrew, Hebrew"
Gilah,f,Hebrew
Gilbert,m,"Ancient Germanic, Dutch, English, French, German"
Gilberta,f,"Dutch, Italian (Rare)"
Gilberte,f,French
Gilberto,m,"Italian, Portuguese, Spanish"
Gilchrist,m,Scottish
Gilda,f,"Italian, Portuguese"
